incompressible,alfa,beta,elevator_pos_ up,rudder_pos_left,aileron_pos_left,flap_pos_down,fx_raw,fy_raw,fz_raw,fx_cal,fy_cal,fz_cal,mx_raw,my_raw,mz_raw,mx_cal,my_cal,mz_cal
aeroCaseSK30b,-10,0,0,0,0,0,110.625,0.805,-356.651,14.726,0.004,-1.402,-0.033,185.899,2.396,-0.005,1.880,-0.050
aeroCaseSK30b,-8,0,0,0,0,0,102.171,1.266,-87.837,16.451,0.004,-1.191,-0.376,83.042,2.917,-0.001,1.872,-0.035
aeroCaseSK30b,-6,0,0,0,0,0,104.438,0.787,221.013,18.289,0.006,-0.888,-0.234,-14.437,2.053,0.000,1.884,-0.030
aeroCaseSK30b,-4,0,0,0,0,0,103.824,1.092,548.149,19.727,-0.063,-0.528,-0.164,-109.654,0.681,0.000,1.879,-0.034
aeroCaseSK30b,-2,0,0,0,0,0,93.369,1.286,878.409,20.642,-0.071,-0.126,-0.053,-204.757,0.359,0.000,1.825,-0.049
aeroCaseSK30b,0,0,0,0,0,0,71.330,1.206,1209.836,21.233,-0.072,0.339,0.305,-300.298,-0.324,0.000,1.734,-0.041
aeroCaseSK30b,2,0,0,0,0,0,35.822,-0.415,1534.691,21.409,0.038,0.829,-0.428,-393.128,0.157,-0.004,1.620,-0.021
aeroCaseSK30b,4,0,0,0,0,0,-12.985,0.798,1838.686,21.223,-0.035,1.291,0.653,-475.252,-0.467,-0.001,1.464,-0.047
aeroCaseSK30b,6,0,0,0,0,0,-72.637,-0.832,2118.059,20.855,-0.004,1.707,0.778,-556.291,-4.035,0.009,1.286,0.003
aeroCaseSK30b,8,0,0,0,0,0,-139.715,-2.377,2364.039,20.075,0.072,2.039,-1.135,-634.491,-1.119,-0.002,1.076,0.038
aeroCaseSK30b,10,0,0,0,0,0,-209.939,-0.928,2563.687,18.810,0.041,2.311,-1.308,-703.182,2.273,-0.004,0.825,-0.025
aeroCaseSK30b,12,0,0,0,0,0,-275.575,-2.521,2693.350,17.314,0.060,2.521,-2.401,-756.058,1.091,-0.001,0.557,-0.005
aeroCaseSK30b,14,0,0,0,0,0,-308.659,-1.506,2625.662,12.027,0.015,2.158,-2.170,-774.995,5.606,-0.002,0.150,-0.070
aeroCaseSK30b,16,0,0,0,0,0,-321.232,-3.093,2585.365,10.374,-0.004,2.106,-4.482,-788.635,4.636,-0.003,-0.085,-0.089
aeroCaseSK30b,18,0,0,0,0,0,-333.259,-4.518,2611.466,8.971,-0.012,1.974,-4.978,-820.614,1.765,-0.002,-0.259,-0.090
aeroCaseSK30b,20,0,0,0,0,0,-333.056,-6.586,2633.679,7.934,-0.014,1.852,-4.306,-856.002,-3.774,-0.003,-0.368,-0.082
aeroCaseSK30b,22,0,0,0,0,0,-319.100,-5.515,2642.263,7.170,0.001,1.758,-2.163,-890.260,-6.539,0.000,-0.528,-0.061
aeroCaseSK30b,24,0,0,0,0,0,-290.546,-2.405,2643.357,6.779,0.014,1.713,-2.124,-917.125,-1.981,0.009,-0.681,-0.071
aeroCaseSK30b,30,0,0,0,0,0,-174.603,-10.441,2620.773,5.829,-0.027,1.682,-1.977,-977.100,-6.995,0.002,-1.131,-0.026
aeroCaseSK30b,32,0,0,0,0,0,-130.846,-2.765,2622.866,5.581,0.088,1.759,-3.935,-997.648,-1.632,-0.006,-1.301,-0.018
aeroCaseSK30b,34,0,0,0,0,0,-68.380,-6.702,2644.692,5.703,0.150,2.069,-4.832,-1032.013,-4.001,-0.008,-1.541,0.009
aeroCaseSK30b,36,0,0,0,0,0,-47.545,-8.606,2666.721,5.603,0.103,2.145,-4.803,-1048.211,-5.998,-0.010,-1.605,0.027